Ano,Receita_Bilhoes,Custos_Bilhoes,Margem_Bilhoes
2007,1438.99,1315.14,123.85
2008,1692.61,1542.9,149.71
2009,1593.12,1457.1,136.02
2010,1877.41,1691.83,185.58
2011,2100.82,1920.89,179.93
2012,2268.02,2117.69,150.32
2013,2500.67,2350.3,150.37
2014,2621.14,2496.64,124.5
2015,2625.77,2566.1,59.67
2016,2608.72,2522.33,86.39
2017,2792.42,2693.65,98.76
2018,3213.06,3023.98,189.08
2019,3380.08,3211.96,168.13
2020,3723.5,3387.54,335.96
2021,5258.3,4617.91,640.38
2022,6244.28,5499.16,745.11
2023,6041.03,5452.94,588.09
