UF,Unidades,Pessoas,VTI_Bilhoes
Acre,259.0,5867.0,0.649323
Alagoas,1055.0,69462.0,8.691558
Amapá,216.0,4509.0,0.514522
Amazonas,1239.0,114364.0,71.34612
Bahia,6507.0,252585.0,65.023712
Ceará,5889.0,244685.0,33.201792
Distrito Federal,1408.0,32271.0,4.345961
Espírito Santo,3572.0,146361.0,48.771929
Goiás,7656.0,261208.0,64.097953
Maranhão,1400.0,49575.0,12.186516
Mato Grosso,3941.0,122668.0,38.301014
Mato Grosso do Sul,2055.0,108096.0,36.396977
Minas Gerais,25904.0,900933.0,269.865301
Paraná,19790.0,716052.0,162.724578
Paraíba,1889.0,71065.0,6.952151
Pará,2404.0,124147.0,62.351248
Pernambuco,5649.0,208711.0,44.217557
Piauí,1376.0,28473.0,4.012925
Rio Grande do Norte,2066.0,65458.0,14.897951
Rio Grande do Sul,19450.0,682849.0,150.867143
Rio de Janeiro,9688.0,392051.0,306.275591
Rondônia,1272.0,33549.0,5.903693
Roraima,146.0,3380.0,0.247053
Santa Catarina,21133.0,748317.0,127.461763
Sergipe,1131.0,43430.0,5.521527
São Paulo,61380.0,2557513.0,813.253213
Tocantins,777.0,19807.0,4.627049
